,Donald Trump,Kamala Harris,Beto O'Rourke,Bernie Sanders,Joe Biden
2019-03-07 03:00:06.214258,2.55,6.0,8.0,8.0,10.0
2019-03-07 04:00:06.884750,2.55,6.0,8.0,8.0,10.0
2019-03-07 05:00:07.199185,2.55,6.0,8.0,8.0,10.0
2019-03-07 06:00:06.248409,2.55,6.0,8.0,8.0,10.0
2019-03-07 07:00:10.318193,2.55,6.0,8.0,8.0,10.0
2019-03-07 08:00:07.071860,2.55,6.0,8.0,8.0,10.0
2019-03-07 09:00:07.422121,2.55,6.0,8.0,8.0,10.0
2019-03-07 10:00:06.433320,2.55,6.0,8.0,8.0,10.0
2019-03-07 11:00:06.570501,2.55,6.0,8.0,8.0,10.0
2019-03-07 12:00:08.136590,2.55,6.0,8.0,8.0,10.0
2019-03-07 13:00:06.903437,2.55,6.0,8.0,8.0,10.0
2019-03-07 14:00:10.479237,2.55,6.0,8.0,8.0,10.0
2019-03-07 15:00:07.973688,2.55,6.0,8.0,8.0,10.0
2019-03-07 16:00:06.081688,2.55,6.0,8.0,8.0,10.0
2019-03-07 17:00:06.907193,2.55,6.0,8.0,8.0,10.0
2019-03-07 18:00:10.459906,2.55,6.0,8.0,8.0,10.0
2019-03-07 19:00:06.980214,2.55,6.0,8.0,8.0,10.0
2019-03-07 20:00:07.374356,2.55,6.0,8.0,8.0,10.0
2019-03-07 21:00:07.095111,2.55,6.0,8.0,8.0,10.0
2019-03-07 22:00:07.427537,2.55,6.0,8.0,8.0,10.0
2019-03-07 23:00:07.185520,2.55,6.0,8.0,8.0,10.0
2019-03-08 00:00:06.142665,2.55,6.0,8.0,8.0,10.0
2019-03-08 01:00:10.377853,2.55,6.0,8.0,8.0,10.0
2019-03-08 02:00:06.764602,2.55,6.0,8.0,8.0,10.0
2019-03-08 03:00:06.969587,2.55,6.0,8.0,8.0,10.0
2019-03-08 04:00:06.506268,2.55,6.0,8.0,8.0,10.0
2019-03-08 05:00:10.688861,2.55,6.0,8.0,8.0,10.0
2019-03-08 06:00:06.936575,2.55,6.0,8.0,8.0,10.0
2019-03-08 07:00:05.959273,2.55,6.0,8.0,8.0,10.0
2019-03-08 08:00:05.791030,2.55,6.0,8.0,8.0,10.0
2019-03-08 09:00:11.002588,2.55,6.0,8.0,8.0,10.0
2019-03-08 10:00:10.402506,2.55,6.0,8.0,8.0,10.0
2019-03-08 11:00:06.473599,2.55,6.0,8.0,8.0,10.0
2019-03-08 12:00:06.718247,2.55,6.0,8.0,8.0,10.0
2019-03-08 13:00:05.180457,2.55,6.0,8.0,8.0,10.0
2019-03-08 14:00:06.606847,2.55,6.0,8.0,8.0,10.0
2019-03-08 15:00:06.862414,2.55,6.0,8.0,8.0,10.0
2019-03-08 16:00:05.480065,2.55,6.0,8.0,8.0,10.0
2019-03-08 17:00:06.753221,2.55,6.0,8.0,8.0,10.0
2019-03-08 18:00:05.426418,2.55,6.0,8.0,8.0,10.0
2019-03-08 19:00:10.809766,2.55,6.0,8.0,8.0,10.0
2019-03-08 20:00:05.697761,2.55,6.0,8.0,8.0,10.0
2019-03-08 21:00:07.100962,2.55,6.0,8.0,8.0,10.0
2019-03-08 22:00:05.427932,2.55,6.0,8.0,8.0,10.0
2019-03-08 23:00:05.725452,2.55,6.0,8.0,8.0,10.0
2019-03-09 00:00:05.110818,2.55,6.0,8.0,8.0,10.0
2019-03-09 01:00:05.821862,2.55,6.0,8.0,8.0,10.0
2019-03-09 02:00:05.531067,2.55,6.0,8.0,8.0,10.0
2019-03-09 03:00:05.852556,2.55,6.0,8.0,8.0,10.0
2019-03-09 04:00:05.184941,2.55,6.0,8.0,8.0,10.0
2019-03-09 05:00:07.708546,2.55,6.0,8.0,8.0,10.0
2019-03-09 10:00:05.648862,2.55,6.0,8.0,7.0,10.0
2019-03-09 11:00:07.599366,2.55,6.0,8.0,7.0,10.0
2019-03-09 12:00:06.272462,2.55,6.0,8.0,7.0,10.0
2019-03-09 13:00:06.064310,2.55,6.0,8.0,7.0,10.0
2019-03-09 14:00:06.114302,2.55,6.0,8.0,7.0,10.0
2019-03-09 15:00:05.873074,2.55,6.0,8.0,7.0,10.0
2019-03-09 16:00:06.478627,2.55,6.0,8.0,7.0,10.0
2019-03-09 17:00:06.733061,2.55,6.0,8.0,7.0,10.0
2019-03-09 18:00:05.045996,2.55,6.0,8.0,7.0,10.0
2019-03-09 19:00:05.448315,2.55,6.0,8.0,7.0,10.0
2019-03-09 20:00:06.262665,2.55,6.0,8.0,7.0,10.0
2019-03-09 21:00:06.568192,2.55,6.0,8.0,7.0,10.0
2019-03-09 22:00:06.338576,2.55,6.0,8.0,7.0,10.0
2019-03-09 23:00:06.245068,2.55,6.0,8.0,7.0,10.0
2019-03-10 00:00:05.738790,2.55,6.0,8.0,7.0,10.0
2019-03-10 01:00:05.967560,2.55,6.0,8.0,7.0,10.0
2019-03-10 02:00:05.252250,2.55,6.0,8.0,7.0,8.0
2019-03-10 03:00:05.532825,2.55,6.0,8.0,7.0,8.0
2019-03-10 04:00:06.235850,2.55,6.0,8.0,7.0,8.0
2019-03-10 05:00:05.412768,2.55,6.0,8.0,7.0,8.0
2019-03-10 06:00:05.796990,2.55,6.0,8.0,7.0,8.0
2019-03-10 07:00:05.719770,2.55,6.0,8.0,7.0,8.0
2019-03-10 08:00:04.989350,2.55,6.0,8.0,7.0,8.0
2019-03-10 09:00:05.274087,2.55,6.0,8.0,7.0,8.0
2019-03-10 10:00:05.689297,2.55,6.0,8.0,7.0,8.0
2019-03-10 11:00:04.959242,2.55,6.0,8.0,7.0,8.0
2019-03-10 12:00:05.383884,2.55,6.0,8.0,7.0,8.0
2019-03-10 13:00:05.594070,2.55,6.0,8.0,7.0,8.0
2019-03-10 14:00:05.824891,2.55,6.0,8.0,7.0,8.0
2019-03-10 15:00:05.371271,2.55,6.0,8.0,7.0,8.0
2019-03-10 16:00:09.140428,2.55,6.0,8.0,7.0,8.0
2019-03-10 17:00:05.467166,2.55,6.0,8.0,7.0,8.0
2019-03-10 18:00:05.651548,2.55,6.0,8.0,7.0,8.0
2019-03-10 19:00:06.009095,2.55,6.0,8.0,7.0,8.0
2019-03-10 20:00:05.229063,2.55,6.0,8.0,7.0,8.0
2019-03-10 21:00:07.005507,2.55,6.0,8.0,7.0,8.0
2019-03-10 22:00:05.307993,2.55,6.0,8.0,7.0,8.0
2019-03-10 23:00:05.706532,2.55,6.0,8.0,7.0,8.0
2019-03-11 00:00:04.903123,2.55,6.0,8.0,7.0,8.0
2019-03-11 01:00:05.139478,2.55,6.0,8.0,7.0,8.0
2019-03-11 02:00:05.542101,2.55,6.0,8.0,7.0,8.0
2019-03-11 03:00:05.730831,2.55,6.0,8.0,7.0,8.0
2019-03-11 04:00:05.043191,2.55,6.0,8.0,7.0,8.0
2019-03-11 05:00:05.328031,2.55,6.0,8.0,7.0,8.0
2019-03-11 06:00:05.552224,2.55,6.0,8.0,7.0,8.0
2019-03-11 07:00:05.672174,2.55,6.0,8.0,7.0,8.0
2019-03-11 08:00:04.967472,2.55,6.0,8.0,7.0,8.0
2019-03-11 09:00:05.219198,2.55,6.0,8.0,7.0,8.0
2019-03-11 10:00:05.445204,2.55,6.0,8.0,7.0,8.0
